id,name,logo
2,Scotland,http://assets.espn.go.com/i/teamlogos/countries/500/sco.png
14,Fiji,http://assets.espn.go.com/i/teamlogos/countries/500/fij.png
8,New Zealand,http://assets.espn.go.com/i/teamlogos/countries/500/nzl.png
5,South Africa,http://assets.espn.go.com/i/teamlogos/countries/500/rsa.png
29,Uruguay,http://assets.espn.go.com/i/teamlogos/countries/500/uru.png
3,Ireland,http://img.scrum.com/scrum/IRFU.png
11,United States of America,http://assets.espn.go.com/i/teamlogos/countries/500/usa.png
17,Sri Lanka,
136,Philippines,
1,England,http://assets.espn.go.com/i/teamlogos/countries/500/eng.png
16,Tonga,http://assets.espn.go.com/i/teamlogos/countries/500/tga.png
26,Hong Kong,
13,Poland,
12,Romania,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png
81,Georgia,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png
18,Spain,
82,Namibia,http://assets.espn.go.com/i/teamlogos/countries/500/nam.png
21,Belgium,
25,Canada,http://assets.espn.go.com/i/teamlogos/countries/500/can.png
57,Russia,
84,Ukraine,
182835,Emerging Ireland,
27,Portugal,
23,Japan,http://assets.espn.go.com/i/teamlogos/countries/500/jpn.png
31,Sweden,
10,Argentina,http://assets.espn.go.com/i/teamlogos/countries/500/arg.png
94,Moldova,
22,Netherlands,
4,Wales,http://assets.espn.go.com/i/teamlogos/countries/500/wal.png
20,Italy,http://assets.espn.go.com/i/teamlogos/countries/500/ita.png
15,Samoa,http://assets.espn.go.com/i/teamlogos/countries/500/sam.png
142,New Zealand Maori,
54,Cook Islands,
9,France,http://assets.espn.go.com/i/teamlogos/countries/500/fra.png
6,Australia,http://assets.espn.go.com/i/teamlogos/countries/500/aus.png
7,Germany,
91,Czech Republic,
49,Korea,
83,Croatia,
264769,Fiji Warriors,
33,Brazil,
53,Paraguay,
28,Chile,
85,Austria,
30,Denmark,
86,Slovenia,
35,Kenya,
87,Latvia,
39,Uganda,
133753,United Arab Emirates,
64,Tunisia,
132,Mauritius,
63,Ivory Coast,
100,Botswana,
118084,Kenya A,
38,Thailand,
113561,Lebanon,
42,Zimbabwe,
36,Malaysia,
84916,Uzbekistan,
48,Chinese Taipei,
47,Serbia and Montenegro,
142722,Algeria,
138785,Qatar,
68,Norway,
74,Finland,
177673,Ecuador,
171355,Turkey,
41,Bulgaria,
104,Venezuela,
40,Peru,
139,Cyprus,
50,Solomon Islands,
95,Kazakhstan,
52,Madagascar,
55,Tahiti,
272969,American Samoa,
56,Switzerland,
51,Singapore,
108,Malta,
61,Luxembourg,
62,Zambia,
267121,Zimbabwe Under-23s,
60,Jamaica,
112,Turks and Caicos Islands,
78,Mexico,
67,Senegal,
59,Bermuda,
73,Barbados,
72,Israel,
69,Guyana,
70,Trinidad and Tobago,
79,Nigeria,
80,Andorra,
133,Greece,
88,Bosnia and Herzegovina,
173646,USA South Panthers,
77,Cayman Islands,
90,Lithuania,
89,Hungary,
214,Argentina Jaguares,
204,Emerging Italy,
92,Bahamas,
99,British Virgin Islands,
130,Guam,
103,Swaziland,
138,Indonesia,
173647,Curacao,
101,China,
102,St Lucia,
129,St Vincent and Grenadines,
105,India,
126,Cambodia,
111,Togo,
128,Niger,
115,Benin,
117,Mali,
98077,Mongolia,
114,Rwanda,
142721,DR Congo,
113,Burundi,
116,Ghana,
177675,Guatemala,
177674,El Salvador,
123,Costa Rica,
134,Slovakia,
84914,Iran,
97,Colombia,
45,Papua New Guinea,
122,Pakistan,
106,Brunei,
264121,Lesotho,
120,Burkina Faso,
124,Panama,
262051,Montenegro,
164,Presidents XV,
124783,Laos,
